feature,mean_importance
Amount,-0.00396313648477895
V16,-0.0017549961938085668
V7,-0.0011103823617168106
V12,-0.0009013564062444023
V8,-0.0007005359192493454
V5,-0.0006636402853021917
V9,-0.0006291095468601071
V18,-0.0004578948720764142
V2,-0.00042355169348704533
V6,-0.0003765221343151826
V27,-0.00034374405239792074
V1,-0.0003309549355397179
V21,-0.0003265892923980607
V22,-0.0003261703091027579
V23,-0.0002702382267170789
V17,-0.00018520170948790326
V15,-5.93267104006312e-05
Class,0.0
V24,0.00013655314463283385
V10,0.0002203772958122796
V20,0.00035554717027870276
V28,0.00042212217356951687
V4,0.00048173430129683226
V3,0.0005954241702154528
V19,0.0007510971921218301
V25,0.0008231249925599648
V26,0.0010206390021709534
V14,0.0014919596380509105
V13,0.004457090856785162
V11,0.019220995253493477
