Sl. No.,State/UTs,2021-22,2022-23,2023-24
1,Andhra Pradesh,6.3,4.1,5.9
2,Arunachal Pradesh,12.1,6.5,12.8
3,Assam,9.4,10.9,7.4
4,Bihar,10.3,6.1,7.3
5,Chhattisgarh,7.2,7.7,7.6
6,Delhi,5.3,7.8,2
7,Goa,11.7,1.7,8.2
8,Gujarat,2.8,8.7,2.3
9,Haryana,8.9,2.2,4
10,Himachal Pradesh,8.7,6.5,9
11,Jharkhand,6.1,14.1,5.8
12,Karnataka,5,6.3,4.2
13,Kerala,10.3,4.2,6.7
14,Madhya Pradesh,4.9,7.6,2.8
15,Maharashtra,5,4.8,5.2
16,Manipur,7.6,4.6,7.5
17,Meghalaya,8.9,5.3,14
18,Mizoram,7.1,12.3,3.4
19,Nagaland,14.6,3.5,11.3
20,Odisha,10.5,8.6,6.8
21,Punjab,6.1,6.2,5.6
22,Rajasthan,10.8,6,7.7
23,Sikkim,3,8.5,3
24,Tamil Nadu,5.7,2.2,4.1
25,Telangana,6.9,5.1,7.3
26,Tripura,4.3,7.8,3.2
27,Uttarakhand,10.6,3,5.8
28,Uttar Pradesh,6.7,6.6,6.7
29,West Bengal,4.4,6.5,3.3
30,Andaman and Nicobar Island,9.9,3.8,13.5
31,Chandigarh,6.3,14,7.1
32,Dadra and Nagar Haveli and Daman and Diu,4.7,4,2.3
33,Jammu and Kashmir,12.9,1.4,11.4
34,Ladakh,9.7,10.2,13.4
35,Lakshadweep,21.1,10.8,13.8
36,Puducherry,4.5,12.8,6.5
All India,All India,6.3,5.4,5.1
